epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2764,1.88488,4.78575,1.77852,0.00204,0.01683,0.00207,0.00109,1.86087,4.75341,2.07832,1e-05,1e-05,1e-05
2,10.5021,1.74899,4.66474,1.65812,0.02615,0.32008,0.02855,0.01851,1.16101,3.97079,1.32781,2.22773e-05,2.22773e-05,2.22773e-05
3,14.8601,1.3756,3.79545,1.36533,0.50785,0.19786,0.15356,0.10488,1.15334,2.82845,1.21497,3.4307e-05,3.4307e-05,3.4307e-05
4,19.2016,1.33163,2.87439,1.28688,0.61741,0.2165,0.21569,0.14741,1.13482,4.55629,1.20766,4.60893e-05,4.60893e-05,4.60893e-05
5,23.9599,1.25344,2.2277,1.25514,0.61119,0.2902,0.31185,0.22246,1.11477,3.13072,1.15078,5.7624e-05,5.7624e-05,5.7624e-05
6,28.1079,1.23513,1.76058,1.2196,0.72459,0.37459,0.38147,0.26769,1.14264,1.80472,1.12211,6.89113e-05,6.89113e-05,6.89113e-05
7,32.4057,1.21916,1.45617,1.18919,0.84772,0.34442,0.42628,0.29136,1.18808,1.76507,1.12604,7.9951e-05,7.9951e-05,7.9951e-05
8,37.1364,1.17757,1.2818,1.1789,0.87625,0.46284,0.51741,0.35857,1.12221,1.28982,1.13024,9.07433e-05,9.07433e-05,9.07433e-05
9,41.4572,1.17713,1.08987,1.22685,0.88491,0.55166,0.65115,0.46364,1.09958,1.04081,1.15564,0.000101288,0.000101288,0.000101288
10,45.6241,1.1476,1.0111,1.17673,0.67737,0.74415,0.755,0.52097,1.15161,1.04545,1.25479,0.000111585,0.000111585,0.000111585
11,50.3052,1.1525,0.98026,1.20482,0.66156,0.71418,0.67447,0.47236,1.1156,0.90137,1.24677,0.000121635,0.000121635,0.000121635
12,54.3498,1.17797,0.98491,1.20103,0.78625,0.72284,0.74793,0.51529,1.10701,0.82334,1.22871,0.000131437,0.000131437,0.000131437
13,58.3702,1.17624,0.90835,1.222,0.72229,0.71033,0.8374,0.55561,1.1188,0.83818,1.23886,0.000140992,0.000140992,0.000140992
14,63.0394,1.18042,0.84175,1.22457,0.81502,0.71345,0.84979,0.55065,1.12735,0.75447,1.24229,0.000150299,0.000150299,0.000150299
15,67.2907,1.15269,0.80526,1.19806,0.8293,0.82432,0.85409,0.55505,1.1312,0.75881,1.24606,0.000159359,0.000159359,0.000159359
16,71.4676,1.12015,0.77403,1.17977,0.81153,0.81885,0.84956,0.55137,1.13377,0.7382,1.23668,0.000168171,0.000168171,0.000168171
17,75.8133,1.1315,0.77883,1.20235,0.82371,0.82846,0.83896,0.54716,1.17421,0.69006,1.29667,0.000176736,0.000176736,0.000176736
18,80.2481,1.12897,0.76162,1.23279,0.81719,0.84051,0.84694,0.55354,1.19669,0.66937,1.30434,0.000185053,0.000185053,0.000185053
19,84.2935,1.14115,0.71432,1.18855,0.88844,0.76545,0.84701,0.55533,1.17754,0.69663,1.27667,0.000193123,0.000193123,0.000193123
20,88.5422,1.15438,0.69501,1.17493,0.85056,0.77648,0.86219,0.57142,1.1225,0.66515,1.23326,0.000200945,0.000200945,0.000200945
21,93.2651,1.08993,0.68342,1.15854,0.79142,0.83997,0.87508,0.56296,1.16127,0.63112,1.25308,0.0002005,0.0002005,0.0002005
22,97.3128,1.10644,0.66552,1.19871,0.86321,0.79136,0.89176,0.59337,1.15838,0.60827,1.25997,0.000198025,0.000198025,0.000198025
23,101.644,1.12727,0.69263,1.18459,0.94921,0.77655,0.8763,0.58036,1.21448,0.61996,1.32699,0.00019555,0.00019555,0.00019555
24,106.163,1.10424,0.68283,1.18931,0.86133,0.85977,0.89878,0.61683,1.20086,0.57429,1.31457,0.000193075,0.000193075,0.000193075
25,110.399,1.06925,0.6337,1.13456,0.88913,0.89862,0.89833,0.5931,1.147,0.56754,1.24566,0.0001906,0.0001906,0.0001906
26,114.539,1.11371,0.64779,1.19017,0.83662,0.89563,0.89725,0.59772,1.13941,0.57112,1.248,0.000188125,0.000188125,0.000188125
27,119.126,1.07844,0.65008,1.19415,0.76873,0.90375,0.88839,0.58803,1.27417,0.59455,1.38868,0.00018565,0.00018565,0.00018565
28,123.355,1.09274,0.63728,1.18303,0.84658,0.85685,0.89588,0.61968,1.12492,0.5562,1.24258,0.000183175,0.000183175,0.000183175
29,127.643,1.06928,0.63507,1.17342,0.86896,0.85217,0.89759,0.6226,1.10753,0.55496,1.22021,0.0001807,0.0001807,0.0001807
30,132.225,1.07308,0.60675,1.16729,0.87465,0.8391,0.89371,0.61473,1.12288,0.54858,1.26865,0.000178225,0.000178225,0.000178225
31,136.576,1.06691,0.60037,1.19397,0.82861,0.84499,0.89285,0.60751,1.1613,0.5566,1.28626,0.00017575,0.00017575,0.00017575
32,140.869,1.07942,0.61661,1.16328,0.86853,0.82728,0.89616,0.62515,1.11021,0.54962,1.23293,0.000173275,0.000173275,0.000173275
33,145.41,1.05813,0.61333,1.12704,0.83514,0.84605,0.89737,0.62287,1.08762,0.56676,1.21443,0.0001708,0.0001708,0.0001708
34,149.817,1.02325,0.57132,1.1451,0.88041,0.82889,0.89681,0.62257,1.13129,0.57937,1.27758,0.000168325,0.000168325,0.000168325
35,153.941,1.08495,0.62968,1.1653,0.83795,0.83235,0.8731,0.56773,1.28727,0.6275,1.40048,0.00016585,0.00016585,0.00016585
36,158.325,1.04729,0.63505,1.15197,0.88637,0.82459,0.87204,0.57118,1.24942,0.59463,1.35007,0.000163375,0.000163375,0.000163375
37,162.67,1.04827,0.59662,1.16084,0.83409,0.83292,0.87176,0.5889,1.17419,0.58778,1.27855,0.0001609,0.0001609,0.0001609
38,166.758,1.02872,0.57265,1.16867,0.80108,0.84289,0.89639,0.6047,1.17803,0.5968,1.28614,0.000158425,0.000158425,0.000158425
39,170.999,1.03017,0.56581,1.16955,0.76658,0.90073,0.89516,0.60258,1.23519,0.59844,1.33238,0.00015595,0.00015595,0.00015595
40,175.56,0.98411,0.558,1.15056,0.78382,0.9023,0.89429,0.61704,1.17994,0.56981,1.28204,0.000153475,0.000153475,0.000153475
41,179.672,1.02006,0.5696,1.10948,0.86927,0.83793,0.89457,0.61378,1.14736,0.55835,1.26516,0.000151,0.000151,0.000151
42,183.874,1.0007,0.55036,1.13762,0.84897,0.84593,0.8925,0.60896,1.17108,0.57713,1.29794,0.000148525,0.000148525,0.000148525
43,188.403,0.99789,0.54383,1.15433,0.83253,0.854,0.89464,0.58822,1.27409,0.61025,1.39067,0.00014605,0.00014605,0.00014605
44,192.585,0.9797,0.5472,1.14059,0.87621,0.84958,0.89484,0.5958,1.22839,0.57577,1.33229,0.000143575,0.000143575,0.000143575
45,196.709,0.98119,0.52854,1.12664,0.84014,0.8527,0.89507,0.60049,1.197,0.57176,1.30551,0.0001411,0.0001411,0.0001411
46,201.262,0.97492,0.53153,1.12932,0.84131,0.87684,0.89495,0.60088,1.18389,0.55863,1.30313,0.000138625,0.000138625,0.000138625
47,205.375,0.99101,0.54949,1.13624,0.88792,0.87675,0.89659,0.58448,1.25981,0.56915,1.38259,0.00013615,0.00013615,0.00013615
48,209.581,0.96625,0.51846,1.13819,0.84142,0.89234,0.902,0.59087,1.24826,0.55865,1.34879,0.000133675,0.000133675,0.000133675
49,213.929,0.95387,0.54607,1.16206,0.87777,0.86868,0.90121,0.59382,1.21152,0.54356,1.30689,0.0001312,0.0001312,0.0001312
50,218.367,0.95931,0.54692,1.12585,0.87625,0.86752,0.89218,0.60228,1.18517,0.53844,1.28468,0.000128725,0.000128725,0.000128725
51,222.485,0.96415,0.50857,1.14293,0.85809,0.87027,0.89018,0.60101,1.16793,0.54407,1.28426,0.00012625,0.00012625,0.00012625
52,226.792,0.96585,0.51151,1.14579,0.84653,0.8834,0.89488,0.57618,1.28037,0.55652,1.39628,0.000123775,0.000123775,0.000123775
53,231.274,0.93246,0.49196,1.11779,0.86498,0.87928,0.89318,0.58071,1.24442,0.54389,1.35944,0.0001213,0.0001213,0.0001213
54,235.372,0.92694,0.52432,1.08979,0.86426,0.8852,0.89323,0.59217,1.18709,0.53239,1.30363,0.000118825,0.000118825,0.000118825
55,239.589,0.90835,0.4776,1.09389,0.87138,0.89036,0.89313,0.58454,1.20721,0.54315,1.30809,0.00011635,0.00011635,0.00011635
56,244.168,0.90792,0.47888,1.1164,0.87589,0.8871,0.88743,0.55678,1.35216,0.57168,1.42302,0.000113875,0.000113875,0.000113875
57,248.279,0.90635,0.5027,1.08033,0.87141,0.88217,0.88727,0.55917,1.36935,0.57764,1.44416,0.0001114,0.0001114,0.0001114
58,252.367,0.8842,0.48115,1.07552,0.86265,0.88941,0.8884,0.58753,1.26634,0.56211,1.36783,0.000108925,0.000108925,0.000108925
59,256.936,0.92603,0.49589,1.08608,0.86302,0.88444,0.89109,0.608,1.19056,0.55225,1.31329,0.00010645,0.00010645,0.00010645
60,261.107,0.90819,0.47802,1.09419,0.84826,0.87749,0.89526,0.61168,1.17372,0.54013,1.30561,0.000103975,0.000103975,0.000103975
61,265.229,0.88684,0.48513,1.0883,0.83912,0.88003,0.89422,0.61525,1.17406,0.53553,1.31597,0.0001015,0.0001015,0.0001015
