epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9517,1.08337,2.64884,1.2203,0.89545,0.36423,0.45753,0.35664,0.87078,0.94748,1.09029,8.125e-05,8.125e-05,8.125e-05
2,68.8549,0.82979,0.81635,1.04474,0.65973,0.75412,0.76421,0.59823,0.92007,0.67101,1.12785,0.000163497,0.000163497,0.000163497
3,108.38,0.76279,0.63116,1.00402,0.75434,0.90992,0.899,0.71643,0.85652,0.50364,1.09811,0.000244644,0.000244644,0.000244644
4,142.152,0.75672,0.58723,1.01343,0.88867,0.81389,0.88134,0.71627,0.78661,0.42614,1.0606,0.00024505,0.00024505,0.00024505
5,175.41,0.72436,0.53637,0.99485,0.8642,0.92606,0.94486,0.7525,0.85072,0.40115,1.0832,0.0002434,0.0002434,0.0002434
6,209.443,0.6975,0.51579,0.98837,0.89853,0.92525,0.93459,0.75705,0.72817,0.40269,1.03287,0.00024175,0.00024175,0.00024175
7,243.136,0.68442,0.5007,0.98754,0.91479,0.92974,0.9564,0.79485,0.71257,0.3718,1.03143,0.0002401,0.0002401,0.0002401
8,277.371,0.69908,0.48995,0.98461,0.95731,0.95618,0.97276,0.80478,0.72391,0.34541,1.02974,0.00023845,0.00023845,0.00023845
9,310.807,0.67248,0.45301,0.9748,0.93599,0.9772,0.97393,0.8127,0.7153,0.35068,1.02449,0.0002368,0.0002368,0.0002368
10,344.355,0.68706,0.46488,0.98388,0.95796,0.96659,0.97249,0.82158,0.69658,0.34817,1.02036,0.00023515,0.00023515,0.00023515
11,378.215,0.65295,0.42289,0.96166,0.96818,0.9681,0.9756,0.82204,0.72588,0.34546,1.04929,0.0002335,0.0002335,0.0002335
12,411.513,0.6461,0.42935,0.96687,0.96373,0.96309,0.97649,0.81633,0.70228,0.31857,1.03843,0.00023185,0.00023185,0.00023185
13,445.073,0.64159,0.41239,0.96725,0.9221,0.96328,0.97172,0.82256,0.69587,0.31867,1.02257,0.0002302,0.0002302,0.0002302
14,478.368,0.63065,0.40787,0.95965,0.96658,0.93272,0.97295,0.81358,0.72054,0.32987,1.03968,0.00022855,0.00022855,0.00022855
15,510.938,0.61576,0.40147,0.9585,0.95841,0.96622,0.97326,0.82594,0.71142,0.33601,1.02782,0.0002269,0.0002269,0.0002269
16,544.86,0.63416,0.40476,0.96131,0.89335,0.98123,0.97528,0.82595,0.72508,0.3261,1.06311,0.00022525,0.00022525,0.00022525
17,578.144,0.61427,0.39508,0.95501,0.96542,0.97827,0.97561,0.83205,0.66679,0.30774,1.0019,0.0002236,0.0002236,0.0002236
18,611.535,0.61248,0.38967,0.95225,0.95759,0.95956,0.9762,0.83324,0.67789,0.31167,1.00705,0.00022195,0.00022195,0.00022195
19,648.642,0.60543,0.37787,0.94978,0.92252,0.9779,0.97696,0.82767,0.68975,0.31379,1.01774,0.0002203,0.0002203,0.0002203
20,682.417,0.62089,0.37797,0.95483,0.97405,0.96807,0.97503,0.83645,0.66271,0.29612,1.01685,0.00021865,0.00021865,0.00021865
21,715.699,0.60822,0.37615,0.95174,0.95837,0.97941,0.97708,0.83353,0.67235,0.31786,1.0351,0.000217,0.000217,0.000217
22,748.718,0.59568,0.37079,0.94156,0.96602,0.96695,0.97417,0.83774,0.6905,0.30458,1.04802,0.00021535,0.00021535,0.00021535
