epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2772,0.96023,1.33339,1.03663,0.71596,0.40879,0.46938,0.26762,1.69215,3.49467,1.78483,0.000653333,0.000653333,0.000653333
2,53.3201,0.96814,0.73268,0.96973,0.00183,0.54955,0.00153,0.00034,3.83208,inf,23.6671,0.00131564,0.00131564,0.00131564
3,74.3322,1.00276,0.66595,0.98677,0.46611,0.54955,0.40091,0.26702,1.10699,2.44464,1.08535,0.00197355,0.00197355,0.00197355
4,95.7886,0.9945,0.70767,0.97311,0.02456,0.05405,0.0037,0.00225,2.79603,10.3407,5.325,0.0019802,0.0019802,0.0019802
5,116.895,1.00417,0.6537,0.97587,0.93899,0.03604,0.0389,0.02779,2.43781,5.91987,16.4982,0.0019736,0.0019736,0.0019736
6,138.21,0.95111,0.59413,0.96305,0.01559,0.07207,0.00238,0.00185,1.50002,69.3384,2.00226,0.001967,0.001967,0.001967
7,159.144,0.92612,0.5262,0.93682,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,179.668,0.91534,0.50915,0.94773,0,0,0,0,nan,nan,nan,0.0019538,0.0019538,0.0019538
9,200.318,0.87357,0.52461,0.94916,0.92835,0.63063,0.63638,0.51101,1.07143,1.14967,1.08282,0.0019472,0.0019472,0.0019472
10,221.622,0.89281,0.52815,0.95653,0.42539,0.99099,0.49749,0.37115,nan,nan,nan,0.0019406,0.0019406,0.0019406
11,243.419,0.84743,0.49435,0.93606,0.19223,0.98838,0.21833,0.1806,0.7256,3.57738,0.86788,0.001934,0.001934,0.001934
12,264.462,0.84682,0.48025,0.93395,0.98644,0.95495,0.96457,0.73745,0.88155,0.5262,0.92095,0.0019274,0.0019274,0.0019274
13,285.602,0.85233,0.48627,0.933,0.98534,1,0.98688,0.73445,0.97846,0.45674,0.95841,0.0019208,0.0019208,0.0019208
14,306.86,0.83623,0.45479,0.9315,0.99905,1,0.995,0.81226,0.76246,0.38705,0.88134,0.0019142,0.0019142,0.0019142
15,328.575,0.8347,0.45918,0.93355,0.99938,1,0.995,0.79722,0.72561,0.44588,0.87517,0.0019076,0.0019076,0.0019076
16,349.111,0.82681,0.45281,0.93344,0.99908,1,0.995,0.82734,0.69473,0.41424,0.86374,0.001901,0.001901,0.001901
17,370.145,0.82127,0.45364,0.92715,0.99799,1,0.995,0.7842,0.80794,0.41212,0.89684,0.0018944,0.0018944,0.0018944
18,391.419,0.82049,0.43969,0.92939,0.9991,1,0.995,0.8233,0.71272,0.34504,0.87124,0.0018878,0.0018878,0.0018878
19,412.792,0.84133,0.45503,0.9467,0.99516,1,0.995,0.82878,0.69849,0.34729,0.86344,0.0018812,0.0018812,0.0018812
20,434.117,0.83341,0.45409,0.93948,0.99617,1,0.995,0.78333,0.82634,0.36162,0.89958,0.0018746,0.0018746,0.0018746
21,455.252,0.816,0.44325,0.92452,0.81989,1,0.87677,0.72729,0.669,1.07347,0.85132,0.001868,0.001868,0.001868
22,476.284,0.80106,0.43093,0.93114,0.88023,1,0.98044,0.77355,0.81622,0.46225,0.8967,0.0018614,0.0018614,0.0018614
23,496.75,0.8317,0.42992,0.93885,0.99868,1,0.995,0.84054,0.67854,0.3368,0.85918,0.0018548,0.0018548,0.0018548
24,518.264,0.77554,0.42279,0.9285,0.99886,1,0.995,0.83373,0.71563,0.36277,0.87723,0.0018482,0.0018482,0.0018482
25,538.693,0.79902,0.41901,0.91912,0.99923,1,0.995,0.83779,0.69392,0.35667,0.86971,0.0018416,0.0018416,0.0018416
26,560.137,0.78289,0.41481,0.91551,1,0.96274,0.99116,0.78211,0.85351,0.42534,0.90564,0.001835,0.001835,0.001835
