epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.045,0.90333,2.69352,1.04793,0.08033,0.94595,0.08109,0.05273,1.20477,11.072,1.12346,0.000655172,0.000655172,0.000655172
2,855.39,0.92156,0.91796,1.02075,0.32077,0.97297,0.33175,0.24917,0.8798,2.57942,1.08343,0.00130003,0.00130003,0.00130003
3,1410.14,0.92725,0.72733,1.01646,0.95738,0.93694,0.97348,0.69694,1.06483,2.36394,1.10129,0.00192289,0.00192289,0.00192289
4,1524.99,0.92939,0.67772,1.01411,0.99503,1,0.995,0.72049,0.97043,0.83453,1.12477,0.001901,0.001901,0.001901
5,1642.89,0.96814,0.60311,1.02419,0.97616,0.99099,0.99382,0.72146,1.00009,0.70197,1.06833,0.001868,0.001868,0.001868
6,1756.22,1.02105,0.60733,1.07608,0.9955,1,0.995,0.68955,1.16127,0.63603,1.14242,0.001835,0.001835,0.001835
7,1871.51,0.90882,0.5321,1.00966,0.99882,1,0.995,0.75908,0.87372,0.45272,0.98239,0.001802,0.001802,0.001802
8,1985.68,0.90379,0.49286,1.0227,0.9972,1,0.995,0.74425,0.96298,0.44191,1.02349,0.001769,0.001769,0.001769
9,2099.9,0.87387,0.48177,0.98542,0.99921,1,0.995,0.80854,0.8439,0.4124,0.97529,0.001736,0.001736,0.001736
10,2213.4,0.89869,0.48827,1.00699,0.98181,0.97275,0.98719,0.7566,0.8623,0.46488,0.98437,0.001703,0.001703,0.001703
11,2327.55,0.88536,0.47956,1.00124,0.999,0.91892,0.93935,0.74944,0.82128,0.55573,0.95992,0.00167,0.00167,0.00167
12,2441.74,0.85836,0.46316,0.9969,0.99888,1,0.995,0.77683,0.8412,0.42155,0.95495,0.001637,0.001637,0.001637
13,2555.92,0.8834,0.45314,1.0001,0.99892,1,0.995,0.68809,1.07645,0.45632,1.06821,0.001604,0.001604,0.001604
14,2668.41,0.85771,0.46446,1.01012,0.99941,1,0.995,0.73612,0.96772,0.44517,1.02623,0.001571,0.001571,0.001571
15,2780.16,0.89807,0.46245,1.00943,0.99932,1,0.995,0.76333,0.88635,0.38695,0.98688,0.001538,0.001538,0.001538
16,2891.93,0.87787,0.4682,0.98353,0.99941,1,0.995,0.78364,0.83901,0.38946,0.95306,0.001505,0.001505,0.001505
17,3002.92,0.87027,0.44679,1.00566,0.99942,1,0.995,0.77381,0.83502,0.37088,0.94964,0.001472,0.001472,0.001472
18,3114.73,0.87482,0.42906,0.99219,0.99942,1,0.995,0.78424,0.86626,0.38833,0.97435,0.001439,0.001439,0.001439
19,3227.56,0.85736,0.42672,0.97882,0.99918,1,0.995,0.78754,0.79714,0.36702,0.95149,0.001406,0.001406,0.001406
20,3341.93,0.84641,0.43365,1.00276,0.99912,1,0.995,0.78982,0.81829,0.35334,0.94908,0.001373,0.001373,0.001373
21,3455.51,0.83667,0.40516,0.97326,0.99891,1,0.995,0.79033,0.82039,0.37034,0.94676,0.00134,0.00134,0.00134
22,3569.14,0.81177,0.40757,0.94738,0.9994,1,0.995,0.8049,0.77116,0.32946,0.93789,0.001307,0.001307,0.001307
23,3682.18,0.84939,0.41691,0.97122,0.99942,1,0.995,0.78802,0.86285,0.36628,0.95766,0.001274,0.001274,0.001274
24,3794.28,0.83407,0.41871,0.97113,0.99943,1,0.995,0.79548,0.7874,0.3401,0.92994,0.001241,0.001241,0.001241
25,3906.78,0.83289,0.40986,0.98237,0.99941,1,0.995,0.78927,0.83195,0.3443,0.94503,0.001208,0.001208,0.001208
26,4020.53,0.81937,0.40373,0.96666,0.99897,1,0.995,0.79542,0.8487,0.35331,0.94929,0.001175,0.001175,0.001175
27,4133.09,0.83573,0.39319,0.99876,0.99943,1,0.995,0.79683,0.86416,0.34738,0.97673,0.001142,0.001142,0.001142
28,4245.14,0.85089,0.39025,0.99206,0.99942,1,0.995,0.76457,0.92756,0.38451,0.99687,0.001109,0.001109,0.001109
29,6465.67,0.80949,0.3918,0.96787,0.99933,1,0.995,0.79981,0.76086,0.35363,0.925,0.001076,0.001076,0.001076
30,6576.76,0.80983,0.37798,0.97443,0.99942,1,0.995,0.79242,0.79492,0.32485,0.92581,0.001043,0.001043,0.001043
31,6691.83,0.78544,0.38421,0.95597,0.99944,1,0.995,0.8077,0.77597,0.33729,0.92457,0.00101,0.00101,0.00101
32,6808.84,0.8162,0.38434,0.98064,0.99944,1,0.995,0.7897,0.89419,0.35813,0.96444,0.000977,0.000977,0.000977
33,6929.01,0.81977,0.39307,0.98334,0.99943,1,0.995,0.82123,0.79331,0.33467,0.93422,0.000944,0.000944,0.000944
34,7049.14,0.78996,0.37484,0.97005,0.99943,1,0.995,0.76548,0.98845,0.347,1.00905,0.000911,0.000911,0.000911
35,7169.95,0.79409,0.38738,0.97087,0.99945,1,0.995,0.83396,0.72045,0.30293,0.90182,0.000878,0.000878,0.000878
36,7289.66,0.80509,0.37323,0.97018,0.99943,1,0.995,0.76653,0.92992,0.35418,0.99031,0.000845,0.000845,0.000845
37,7409.21,0.80273,0.36487,0.96324,0.99945,1,0.995,0.82762,0.72245,0.30099,0.90557,0.000812,0.000812,0.000812
38,7526.41,0.79978,0.37869,0.96354,0.99942,1,0.995,0.77753,0.93154,0.35983,0.99536,0.000779,0.000779,0.000779
39,7642.93,0.77756,0.36158,0.95257,0.99946,1,0.995,0.79107,0.85653,0.34108,0.96649,0.000746,0.000746,0.000746
40,7761.38,0.80613,0.37348,0.96036,0.9994,1,0.995,0.81441,0.78384,0.31219,0.93444,0.000713,0.000713,0.000713
41,7881.56,0.78442,0.3592,0.96021,0.99947,1,0.995,0.78328,0.88013,0.32927,0.96551,0.00068,0.00068,0.00068
42,8001.96,0.77749,0.35961,0.95787,0.99944,1,0.995,0.79055,0.87797,0.32315,0.96645,0.000647,0.000647,0.000647
43,8124.47,0.76743,0.3546,0.95676,0.99944,1,0.995,0.82413,0.77129,0.31153,0.92199,0.000614,0.000614,0.000614
44,8244.42,0.78499,0.35606,0.97555,0.99945,1,0.995,0.81547,0.83503,0.31308,0.95619,0.000581,0.000581,0.000581
45,8364.93,0.79054,0.36177,0.95857,0.99948,1,0.995,0.77139,0.92251,0.33426,0.99285,0.000548,0.000548,0.000548
46,8486.76,0.742,0.34711,0.95514,0.99944,1,0.995,0.78859,0.85553,0.31523,0.9451,0.000515,0.000515,0.000515
47,8603.67,0.77503,0.35328,0.96634,0.99946,1,0.995,0.82717,0.75057,0.2878,0.90948,0.000482,0.000482,0.000482
48,8723.17,0.77152,0.33559,0.95553,0.99946,1,0.995,0.77068,0.93881,0.31248,0.9956,0.000449,0.000449,0.000449
49,8842.97,0.80599,0.35288,0.96041,0.99948,1,0.995,0.81163,0.82848,0.30315,0.94676,0.000416,0.000416,0.000416
50,8963.96,0.74088,0.32959,0.96036,0.99948,1,0.995,0.80741,0.83225,0.29034,0.94743,0.000383,0.000383,0.000383
51,9082.65,0.7281,0.3,0.94446,0.99946,1,0.995,0.79976,0.85465,0.29923,0.95977,0.00035,0.00035,0.00035
52,9202.2,0.71095,0.2903,0.9622,0.99947,1,0.995,0.80668,0.82964,0.30163,0.94811,0.000317,0.000317,0.000317
53,9319.71,0.7216,0.30008,0.96044,0.99948,1,0.995,0.81115,0.81196,0.30446,0.93853,0.000284,0.000284,0.000284
54,9438.01,0.72127,0.29709,0.97221,0.99943,1,0.995,0.80233,0.83287,0.29764,0.94842,0.000251,0.000251,0.000251
55,9556.84,0.71303,0.28929,0.9526,0.99946,1,0.995,0.81825,0.79892,0.2865,0.93095,0.000218,0.000218,0.000218
56,9678.55,0.70328,0.2801,0.94299,0.99946,1,0.995,0.82229,0.78185,0.28143,0.92542,0.000185,0.000185,0.000185
57,9794.13,0.69799,0.28032,0.95662,0.99947,1,0.995,0.80244,0.84032,0.28638,0.94904,0.000152,0.000152,0.000152
58,9911.71,0.71737,0.28351,0.95431,0.9995,1,0.995,0.79528,0.86409,0.29448,0.95954,0.000119,0.000119,0.000119
59,10032.7,0.71374,0.28437,0.93802,0.99952,1,0.995,0.80711,0.81773,0.28854,0.93904,8.6e-05,8.6e-05,8.6e-05
60,10148.1,0.69662,0.28034,0.93003,0.99951,1,0.995,0.81441,0.79679,0.28522,0.92949,5.3e-05,5.3e-05,5.3e-05
